#  E (eV)	   dosup(E) 	     dosdw(E)	   Int dos(E)	 EFermi =   15.122 eV
1.3200E+01	5.2740E+00	3.2419E+00	8.5159E+00	
1.3200E+01	3.8706E+00	3.5118E+00	7.3824E+00	
1.3200E+01	4.4372E+00	3.7990E+00	8.2362E+00	
1.3200E+01	5.1541E+00	4.0873E+00	9.2414E+00	
1.3300E+01	4.5691E+00	3.2676E+00	7.8367E+00	
1.3300E+01	5.3705E+00	2.6646E+00	8.0351E+00	
1.3300E+01	6.5743E+00	2.7032E+00	9.2775E+00	
1.3300E+01	9.3268E+00	3.1497E+00	1.2477E+01	
1.3300E+01	1.2182E+01	3.8409E+00	1.6023E+01	
1.3400E+01	1.1015E+01	4.9010E+00	1.5916E+01	
1.3400E+01	1.3294E+01	4.7698E+00	1.8064E+01	
1.3400E+01	1.3177E+01	5.0315E+00	1.8209E+01	
1.3400E+01	1.1256E+01	5.1049E+00	1.6361E+01	
1.3400E+01	8.6828E+00	4.6717E+00	1.3355E+01	
